cal_id,date,cancelled,makeup,cal_ref,,
1001,1/5/2026,0,0,,2,1
1002,1/7/2026,0,0,,4,
1003,1/12/2026,0,0,,2,2
1004,1/14/2026,0,0,,4,
1005,1/21/2026,0,0,,4,3
1006,1/26/2026,0,0,,2,
1007,1/28/2026,0,0,,4,4
1008,2/2/2026,0,0,,2,
1009,2/4/2026,0,0,,4,5
1010,2/9/2026,0,0,,2,
1011,2/11/2026,0,0,,4,6
1012,2/16/2026,1,0,,2,
1013,2/18/2026,0,0,,4,7
1014,2/23/2026,0,0,,2,
1015,2/25/2026,0,0,,4,8
1016,3/2/2026,0,0,,2,
1017,3/4/2026,0,0,,4,9
1018,3/16/2026,0,0,,2,
1019,3/18/2026,0,0,,4,10
1020,3/23/2026,0,0,,2,
1021,3/25/2026,0,0,,4,11
1022,3/30/2026,0,0,,2,
1023,4/1/2026,0,0,,4,12
1024,4/6/2026,0,0,,2,
1025,4/8/2026,0,0,,4,13
1026,4/13/2026,0,0,,2,
1027,4/15/2026,0,0,,4,14
1028,4/20/2026,0,0,,2,
2001,8/30/2022,0,0,,,
2002,9/6/2022,0,0,,,
2003,9/13/2022,0,0,,,
2004,9/20/2022,0,0,,,
2005,9/29/2022,0,0,,,
2006,10/6/2022,0,0,,,
,10/20/2022,0,0,,,
,10/18/2022,0,0,,,
2007,11/1/2022,0,0,,,
,11/1/2022,0,0,,,
,11/8/2022,0,0,,,
2102,11/17/2022,0,0,,,
2103,12/6/2022,0,0,,,
2105,12/10/2022,0,0,,,
4001,8/30/2022,0,0,2001,,
4002,9/6/2022,0,0,2002,,
4003,9/13/2022,0,0,2003,,
4004,9/20/2022,0,0,2004,,
4005,9/29/2022,0,0,2005,,
4006,10/6/2022,0,0,2006,,
4007,11/1/2022,0,0,2007,,
,11/8/2022,0,0,2008,,
4102,11/17/2022,0,0,2102,,
4103,12/6/2022,0,0,2103,,
4105,12/10/2022,0,0,2105,,
6001,10/13/2022,0,0,,,
6002,11/22/2022,0,0,,,
6003,11/24/2022,0,0,,,
2101,11/3/2022,0,0,,,
4101,11/3/2022,0,0,2101,,
1025,11/29/2022,0,0,,,
2104,12/8/2022,0,0,,,
4104,12/8/2022,0,0,2104,,
